Employee ID,Employee Name,Department/Team,Designation/Role,Date of Joining,Current Employment Status,Total Work Duration (years),Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating
576593,Stephen Hernandez,5,0,16189,0,10.8,3,0,2,1,41,8.0,33.0,84.5,23,13,14.0,1.5,2.6,2,19,0,2.9
812102,Daniel Miles,5,1,19290,1,0.7,2,0,4,1,53,24.0,29.0,50.3,30,30,15.0,5.9,4.4,0,2,0,2.2
136357,Christopher Lopez,0,4,17075,0,8.4,3,2,3,1,26,26.0,0.0,63.7,27,22,13.0,3.3,4.1,0,8,2,2.6
990368,Cory Owen,0,7,15946,0,11.5,4,0,6,0,34,6.0,28.0,52.8,44,36,30.0,1.9,2.4,2,18,1,3.1
156719,Kyle Russell,2,1,17506,0,7.2,0,1,4,0,34,20.0,14.0,75.4,41,13,23.0,4.9,4.9,0,19,2,2.0
337384,Amanda Hamilton,2,7,17544,0,7.1,2,1,2,0,27,23.0,4.0,58.5,22,4,15.0,6.0,4.7,1,11,2,2.6
717312,Bailey Rodriguez,5,6,15030,1,3.6,1,0,2,1,32,29.0,3.0,69.8,13,9,3.0,1.3,3.3,2,13,2,1.0
403725,Donald Baker,5,6,15798,0,11.9,4,1,5,0,46,2.0,44.0,61.9,22,15,9.0,2.3,4.3,2,8,0,2.3
709010,Matthew Johnson,6,1,16572,0,9.8,3,0,10,1,57,17.0,40.0,77.6,40,25,16.0,6.6,1.1,1,0,1,5.0
427233,Brian Hoover,1,6,15565,0,12.5,2,0,7,0,62,19.0,43.0,57.2,21,6,3.0,7.1,2.4,1,3,0,2.5
562875,Nancy Wilson,5,2,14618,0,15.1,3,0,3,0,96,20.0,76.0,79.3,16,14,2.0,8.4,1.5,1,15,1,2.3
822672,Sherry Miller,0,7,18620,0,4.2,1,0,9,0,22,3.0,19.0,65.1,42,10,3.0,6.6,3.1,1,30,2,3.3
401936,Stacey Keith,6,0,17022,0,8.5,4,2,1,1,18,13.0,5.0,80.3,20,18,6.0,4.5,3.7,0,6,1,3.1
784271,Madison White,2,2,16932,0,8.8,2,0,9,0,57,30.0,27.0,81.9,45,3,19.0,9.7,3.4,2,30,0,4.3
390949,Thomas Landry,5,4,18509,0,4.5,2,2,5,0,91,40.0,51.0,79.9,9,3,3.0,5.5,4.4,0,9,0,4.6
859059,Bobby Mcintosh,6,3,18646,0,4.1,1,2,10,0,69,61.0,8.0,60.7,48,39,8.0,2.7,2.0,0,4,1,2.9
657259,William Lewis,4,7,15800,0,11.9,0,1,8,0,89,35.0,54.0,54.4,48,46,47.0,1.5,3.0,1,27,0,2.1
310101,Gloria Sanchez,5,0,15612,0,12.4,1,0,2,0,93,26.0,67.0,89.7,17,10,8.0,9.6,3.6,2,17,0,1.5
572495,Allison Medina,1,1,17388,0,7.5,0,1,3,0,23,16.0,7.0,89.5,50,36,23.0,8.0,3.6,0,15,1,3.5
619762,Mariah Scott,0,2,16088,1,8.8,0,1,10,0,15,8.0,7.0,85.5,25,11,23.0,9.2,1.0,1,26,2,3.6
37658,Terry Alexander,2,7,18902,0,3.4,1,2,7,1,30,2.0,28.0,85.5,20,14,7.0,6.0,1.4,1,28,1,3.9
405540,Mrs. Brittany Jones,6,1,19170,0,2.6,4,0,7,0,99,94.0,5.0,99.9,49,34,0.0,6.7,4.9,1,16,0,3.6
557029,Michelle Goodwin,6,5,15957,0,11.4,2,0,6,1,47,18.0,29.0,58.2,50,9,40.0,9.4,3.7,2,7,2,3.7
615191,David Kim,6,5,15084,1,12.3,1,2,9,0,47,11.0,36.0,93.3,41,26,22.0,9.3,4.2,0,3,1,1.9
487042,Michael Ramsey,5,2,16490,1,3.4,3,1,10,1,85,55.0,30.0,80.4,20,8,12.0,4.9,1.0,2,15,0,1.5
768504,Jennifer Austin,0,3,17449,0,7.4,4,0,0,1,89,63.0,26.0,53.4,24,12,24.0,5.7,1.4,2,18,2,4.5
165339,Adrian Smith,3,5,17925,0,6.1,1,1,5,1,49,4.0,45.0,98.1,44,2,1.0,7.7,4.1,1,14,0,3.2
947568,Jesse Perez,0,4,18502,1,4.1,3,1,4,1,60,54.0,6.0,85.1,7,7,7.0,5.1,1.7,1,16,0,2.4
261060,Mr. Raymond Snyder,6,6,15284,0,13.3,0,2,7,0,36,34.0,2.0,95.4,35,31,26.0,2.8,2.7,0,20,1,2.9
483574,John Pollard,6,7,15711,2,11.2,0,0,3,0,84,53.0,31.0,66.7,39,13,8.0,6.8,4.5,2,19,0,1.4
349830,Christina Browning,6,5,19208,1,0.1,4,0,8,1,23,9.0,14.0,56.0,13,8,8.0,1.7,4.2,0,1,2,3.0
77778,James Wilson,6,3,16579,0,9.7,1,2,1,0,37,35.0,2.0,78.2,20,17,19.0,7.2,4.6,0,20,1,2.4
458782,Ryan Rodriguez,5,3,18529,0,4.4,2,2,7,0,86,81.0,5.0,98.6,7,3,3.0,6.7,4.8,1,30,1,2.8
287237,Amy Cox,5,3,18936,0,3.3,3,2,9,0,42,8.0,34.0,65.8,24,24,23.0,4.6,4.2,0,27,2,2.3
761523,Charles Bauer,3,5,16636,0,9.6,0,1,5,0,26,20.0,6.0,84.4,6,5,6.0,6.0,4.8,1,26,0,1.8
467295,Christopher Gonzales,5,4,16579,0,9.7,4,0,2,1,10,7.0,3.0,96.9,5,2,1.0,6.9,3.7,2,2,0,1.8
601870,Robert Padilla,3,0,18203,0,5.3,2,2,0,1,28,15.0,13.0,82.7,29,11,10.0,9.6,2.5,2,4,2,4.3
843168,Jennifer Williams,5,6,15169,1,5.5,4,1,8,1,21,14.0,7.0,60.5,10,4,9.0,9.0,3.9,1,2,2,4.8
156771,Tiffany Harris,3,5,16672,0,9.5,4,2,6,1,59,14.0,45.0,75.1,44,23,35.0,5.4,2.1,1,0,0,2.7
125015,Marc Lynch,6,1,17068,0,8.4,4,0,2,1,17,9.0,8.0,55.9,16,10,8.0,5.8,4.0,2,1,0,2.0
351227,Richard Williams,2,4,17836,2,1.6,4,1,2,0,72,6.0,66.0,73.6,36,5,27.0,6.2,4.3,0,27,0,2.4
355392,Jennifer Jackson,4,4,16300,0,10.5,4,1,1,0,34,26.0,8.0,93.1,10,9,5.0,5.8,4.4,0,4,2,3.7
204021,Karen Copeland,2,2,16068,0,11.1,3,2,6,1,93,67.0,26.0,92.7,19,10,18.0,8.0,4.6,1,3,2,4.7
167075,Maria Martinez,3,7,18405,0,4.7,4,2,8,1,89,49.0,40.0,80.0,40,17,28.0,8.3,4.0,2,7,1,2.5
785592,Pamela Adams,6,4,16527,0,9.9,3,1,7,0,40,11.0,29.0,82.4,12,9,9.0,7.9,4.0,2,29,2,4.9
760568,Andrew Johnson,1,7,14749,0,14.8,0,2,1,0,10,0.0,10.0,58.6,45,2,26.0,6.3,4.5,1,13,1,3.3
906093,Tyler Pearson,0,0,18420,1,1.3,3,1,6,0,31,24.0,7.0,77.0,26,15,3.0,6.7,2.8,0,2,2,1.3
982416,Amanda Gonzalez,0,3,16139,0,11.0,4,1,10,0,92,37.0,55.0,96.5,33,19,1.0,4.6,1.9,2,8,2,2.9
112363,Jeffrey Kelly,4,2,16975,0,8.7,0,2,8,0,66,57.0,9.0,79.3,29,12,13.0,2.8,1.8,1,21,0,1.5
582338,Ryan Lee,5,0,16155,0,10.9,0,1,0,0,67,32.0,35.0,82.2,31,23,29.0,10.0,2.8,2,23,0,2.2
350425,Shannon Johnson,4,0,17936,0,6.0,2,0,9,1,80,45.0,35.0,78.1,28,12,5.0,8.9,2.9,2,17,1,4.9
72956,Elizabeth Ross,5,2,18396,1,2.0,2,2,0,1,75,1.0,74.0,92.0,9,8,4.0,3.0,2.1,0,18,0,2.9
887979,Laura West,4,6,17043,0,8.5,2,2,0,0,88,2.0,86.0,55.8,50,21,12.0,6.8,1.3,2,11,1,4.5
330680,Amber Fox,4,6,15823,0,11.8,1,2,2,0,94,74.0,20.0,68.6,18,1,18.0,7.1,4.6,0,26,2,2.5
219891,Daniel Christensen,0,2,19333,0,2.2,1,2,7,0,94,74.0,20.0,57.8,29,12,13.0,7.6,2.0,2,8,0,2.9
205031,Robert Solomon,6,6,16674,0,9.5,1,1,3,0,99,80.0,19.0,67.9,24,24,2.0,6.1,1.5,2,12,2,4.5
191208,Gloria Cruz,2,4,17257,0,7.9,4,1,2,1,16,11.0,5.0,60.0,11,11,6.0,7.8,3.1,0,11,2,3.5
973941,James Zimmerman,6,5,18895,0,3.4,3,1,4,0,46,41.0,5.0,85.5,15,10,4.0,4.1,2.7,2,14,2,4.5
628125,Jennifer Baker,0,7,16655,0,9.5,0,0,3,0,46,10.0,36.0,96.6,49,30,42.0,2.5,4.9,2,29,0,1.5
61228,Jennifer Jackson,1,1,18603,0,4.2,1,0,10,1,26,18.0,8.0,90.9,23,18,5.0,3.7,4.0,0,19,2,3.3
569007,Brett Smith,1,6,18797,0,3.7,1,2,8,0,99,31.0,68.0,52.4,48,44,8.0,4.5,2.7,1,4,1,2.8
49990,Russell Sharp,1,3,14702,0,14.9,3,1,7,1,33,2.0,31.0,76.8,49,19,46.0,8.8,2.8,1,15,0,4.8
604048,Virginia Snow,1,2,15584,0,12.5,1,1,1,1,30,25.0,5.0,82.4,34,18,12.0,8.6,2.0,1,11,1,3.4
779946,Kyle Black,2,0,17586,0,7.0,1,0,1,0,18,15.0,3.0,75.3,23,5,10.0,8.6,3.1,1,2,2,2.8
507200,Michele Gordon,6,0,16914,0,8.8,2,0,0,1,29,3.0,26.0,87.6,32,13,3.0,6.1,2.4,2,7,1,4.6
465919,Gregory Ferguson,5,4,17354,0,7.6,4,2,6,0,97,44.0,53.0,78.0,47,30,47.0,5.9,2.7,2,11,1,3.4
433113,Jamie Reid,0,7,19326,0,2.2,2,0,6,1,44,40.0,4.0,56.5,10,7,3.0,1.3,4.2,2,22,0,1.6
176021,Xavier Brown,3,2,16844,0,9.0,4,0,8,1,20,16.0,4.0,55.9,39,30,27.0,5.4,2.8,2,28,2,1.9
865925,Sandra Black,6,2,18862,0,3.5,1,2,0,1,83,62.0,21.0,84.9,45,5,4.0,8.1,3.7,0,18,2,2.7
467464,Joseph Carter,6,5,16842,0,9.0,1,1,8,0,53,18.0,35.0,79.8,33,20,6.0,3.4,4.0,0,25,0,4.2
136096,Spencer Graves,2,3,15206,0,13.5,4,0,9,1,54,3.0,51.0,51.8,38,21,2.0,8.7,4.2,2,23,1,2.5
351342,Robert Campbell,5,3,16994,0,8.6,3,1,2,0,11,2.0,9.0,86.8,17,2,10.0,1.5,3.7,0,28,2,4.4
663184,Kevin Price,0,2,15306,0,13.2,1,1,0,1,73,62.0,11.0,79.3,21,18,4.0,3.8,2.3,2,30,2,4.6
968819,Mark Davila II,0,5,15882,0,11.7,0,0,1,1,69,18.0,51.0,83.2,32,16,23.0,3.4,4.0,1,5,0,1.2
218759,Zachary Duncan,3,3,15975,0,11.4,0,1,6,1,72,12.0,60.0,60.9,18,6,5.0,2.0,4.0,2,24,1,4.4
402011,Darren Waller,0,0,17173,1,4.5,3,2,9,1,32,3.0,29.0,53.0,26,3,0.0,8.3,4.7,1,17,0,3.9
101948,David Allen,6,4,18436,0,4.7,3,0,9,1,94,53.0,41.0,50.3,29,1,29.0,6.1,2.4,1,9,1,3.3
833178,Emma Reyes,6,2,16324,0,10.4,3,1,1,1,88,19.0,69.0,64.3,14,13,9.0,5.8,4.4,0,13,2,2.7
129523,Emily Smith,5,5,18967,0,3.2,1,0,6,1,56,41.0,15.0,64.6,36,27,12.0,6.4,3.2,1,19,0,4.7
932500,Linda Hess,4,1,15581,0,12.5,2,1,7,0,74,11.0,63.0,70.4,36,5,14.0,4.6,1.1,0,30,2,2.5
453907,Joe Foster,0,0,14616,0,15.1,1,0,1,1,46,16.0,30.0,61.5,35,29,22.0,4.7,4.4,1,25,0,4.1
834585,Steve Fleming,5,1,18304,0,5.0,0,0,1,1,10,8.0,2.0,93.6,9,6,6.0,2.7,3.7,2,14,1,4.1
912393,Kristina Young,6,4,17076,0,8.4,3,1,5,1,99,79.0,20.0,94.4,29,25,28.0,3.8,3.0,2,13,1,4.3
621264,Sean Gordon,0,7,17988,0,5.9,2,1,10,0,46,27.0,19.0,72.2,37,32,20.0,2.8,2.8,2,29,2,4.2
561859,Jennifer Smith,5,0,17413,0,7.5,3,1,1,0,80,40.0,40.0,54.0,46,19,7.0,8.4,2.5,0,17,2,3.7
691944,Pamela Reyes,3,2,15199,0,13.5,2,2,4,1,90,79.0,11.0,72.4,29,18,5.0,8.9,3.2,0,5,1,1.6
681911,Justin Pollard,1,2,17686,0,6.7,3,2,3,0,83,10.0,73.0,96.0,21,9,21.0,9.6,1.3,1,3,0,4.3
680033,Kelly Raymond DDS,0,6,18927,0,3.3,3,0,5,0,82,35.0,47.0,77.2,9,9,4.0,8.3,3.6,0,18,1,1.4
850305,Isabel Wyatt,2,3,18189,0,5.3,0,2,0,1,55,46.0,9.0,71.6,44,44,16.0,8.0,1.7,2,17,2,3.7
99328,Timothy Douglas,1,6,16630,0,9.6,1,0,2,0,63,39.0,24.0,71.4,45,15,26.0,7.3,4.1,0,10,0,2.6
249434,Stephanie Watson,1,4,16663,1,6.0,2,1,7,0,68,27.0,41.0,99.6,11,9,3.0,6.6,4.8,0,6,1,1.3
975282,Kellie Sanchez,5,2,17135,0,8.2,4,1,9,1,34,7.0,27.0,81.4,42,30,0.0,5.7,4.5,2,24,2,2.8
755223,Debra Johnson,2,1,17939,0,6.0,4,0,8,1,64,14.0,50.0,86.2,33,1,19.0,5.0,4.7,0,7,1,2.1
475664,Patrick Evans,1,3,16609,0,9.7,0,1,7,1,31,15.0,16.0,84.1,37,13,4.0,8.0,2.0,0,15,2,1.1
58570,Adam Foster,4,4,16822,0,9.1,3,2,3,1,24,16.0,8.0,54.6,9,2,0.0,4.7,1.5,0,9,2,2.0
457583,Ashley Donaldson,5,7,14964,0,14.2,4,1,10,1,43,37.0,6.0,76.3,37,3,28.0,4.4,4.1,1,16,2,4.8
347188,Dustin Baker,4,3,18696,0,3.9,3,2,5,1,44,32.0,12.0,77.1,38,21,23.0,2.0,3.2,0,28,0,2.5
822711,Emily Hunter,2,5,18401,1,4.6,3,2,0,1,98,94.0,4.0,96.3,25,17,0.0,4.2,2.6,0,17,2,4.0
473099,Sarah Young,3,7,16704,0,9.4,4,1,6,1,96,14.0,82.0,76.5,47,20,43.0,6.6,4.9,2,3,0,1.5
716548,Richard Tanner,0,0,15547,0,12.6,0,1,4,0,57,21.0,36.0,61.4,34,5,13.0,5.8,3.2,0,15,2,1.4
646936,Robert Figueroa,6,5,15872,0,11.7,4,2,10,1,51,42.0,9.0,59.5,10,6,10.0,3.6,2.9,0,21,1,3.0
604713,Jessica Henry,5,5,17442,1,6.0,0,0,9,1,67,58.0,9.0,53.8,41,28,38.0,1.2,2.0,0,11,0,3.8
287088,Amanda Scott,1,5,17183,0,8.1,4,0,5,0,95,80.0,15.0,81.1,8,8,2.0,6.2,1.1,1,28,1,4.8
253272,Savannah Carlson,5,0,14754,0,14.7,0,0,8,1,95,75.0,20.0,59.1,17,9,4.0,3.4,3.7,1,3,2,1.9
316213,Andrew Knapp,6,5,17537,0,7.1,4,0,1,0,20,0.0,20.0,89.2,7,4,1.0,3.3,1.5,2,1,2,4.3
519798,Lisa Stewart,3,1,18474,2,3.2,4,0,8,0,45,17.0,28.0,94.4,42,29,0.0,9.8,3.5,2,7,0,1.6
469831,Shane Rodriguez,4,6,16018,0,11.3,0,1,7,0,48,24.0,24.0,96.6,14,6,3.0,6.7,1.3,2,6,1,3.5
551661,Travis Quinn,4,6,15957,0,11.4,1,1,2,1,28,26.0,2.0,87.5,42,20,41.0,2.5,4.6,1,15,2,5.0
288500,Jonathan Powell,5,0,16095,2,8.7,0,2,4,1,51,46.0,5.0,51.7,5,4,0.0,2.6,4.5,1,27,2,3.3
306681,Kristen Williams,3,4,15153,0,13.7,3,2,7,1,66,58.0,8.0,69.7,13,4,6.0,5.6,4.3,2,21,2,5.0
818375,Renee Hodges,3,1,17578,0,7.0,0,1,8,1,77,69.0,8.0,56.4,36,4,22.0,9.3,1.4,0,3,2,4.7
497822,Kimberly Sanders,2,5,16383,0,10.3,1,1,7,0,38,21.0,17.0,91.6,25,10,3.0,8.3,1.0,2,15,2,3.1
157509,Nicholas Lopez,0,0,18702,0,3.9,0,1,5,0,60,28.0,32.0,81.1,18,17,9.0,4.9,4.3,1,22,2,4.8
914012,Katherine Martin,1,4,18067,0,5.7,4,1,2,1,70,6.0,64.0,50.9,38,37,4.0,2.9,3.6,2,28,0,4.7
148182,Robert Williams,6,0,15925,0,11.5,4,1,8,1,58,26.0,32.0,88.5,36,6,29.0,8.6,2.9,0,6,0,2.0
936790,Eric Cox,3,6,15570,0,12.5,2,0,7,0,18,10.0,8.0,99.5,44,8,5.0,6.5,1.3,1,8,1,2.6
141995,Lisa Ingram,4,6,18477,0,4.5,2,1,9,1,29,26.0,3.0,70.5,41,6,17.0,3.9,1.1,0,18,2,3.7
185368,Bethany Brooks,6,4,15084,0,13.8,2,0,3,1,80,31.0,49.0,94.5,26,26,11.0,4.0,1.3,1,20,0,1.4
857909,Kyle Hubbard,4,7,18197,0,5.3,2,1,2,1,63,56.0,7.0,70.8,41,31,13.0,4.2,2.6,0,11,1,2.4
419828,Sandra Jones,0,5,19350,0,2.2,4,2,0,0,23,20.0,3.0,66.1,30,6,2.0,4.8,1.9,2,1,1,4.2
959914,Mrs. Melinda Edwards,0,5,15123,0,13.7,3,2,4,1,52,34.0,18.0,62.8,14,6,14.0,3.6,2.3,0,15,1,3.2
447698,Sandra Irwin,2,3,17081,0,8.4,2,1,1,0,75,10.0,65.0,50.5,43,41,28.0,8.9,1.7,1,7,1,2.5
110285,David Campos,3,1,15203,0,13.5,4,1,2,1,17,17.0,0.0,79.5,12,1,1.0,7.3,2.6,2,3,2,2.9
456293,Danielle Conley,5,0,19269,0,2.4,1,0,5,1,29,22.0,7.0,58.0,47,32,26.0,2.6,3.1,0,25,2,4.5
259215,Michael Duran,6,6,15459,0,12.8,2,0,4,1,76,68.0,8.0,65.7,23,18,9.0,9.3,1.0,1,28,0,3.3
823940,Ashley Hardin,1,5,17053,0,8.4,2,0,3,0,65,5.0,60.0,59.5,18,4,11.0,3.9,4.8,0,22,1,4.2
232038,Daniel Smith,5,4,17895,0,6.1,3,2,3,0,99,90.0,9.0,66.4,40,33,0.0,4.7,2.2,1,23,0,2.0
256759,Anthony Gray,4,4,14998,0,14.1,4,1,2,1,54,24.0,30.0,62.2,47,12,3.0,6.4,3.6,0,27,0,1.1
214002,Brittany Young,5,5,18494,0,4.5,3,0,2,0,51,20.0,31.0,51.3,24,11,23.0,7.4,1.5,1,2,0,4.5
690227,Nicole Evans,1,7,16049,0,11.2,0,2,2,1,86,50.0,36.0,51.7,43,22,39.0,5.0,2.7,2,16,1,2.4
112963,Connie Perez,4,2,17036,1,4.4,2,0,5,0,44,3.0,41.0,87.5,48,10,3.0,3.0,2.1,0,12,2,4.5
63298,Jennifer Perry,4,5,16915,1,1.2,1,2,8,1,45,1.0,44.0,57.1,22,17,18.0,4.3,5.0,2,30,0,1.3
479568,Dr. Chris Horton DDS,0,0,14911,0,14.3,3,0,7,1,78,78.0,0.0,59.6,43,20,32.0,2.8,3.4,2,13,1,2.9
261377,Christopher Baldwin,6,6,18262,0,5.1,3,2,6,1,49,31.0,18.0,83.5,22,13,21.0,7.3,4.2,1,0,0,1.8
581309,Carolyn Ray,5,5,18437,0,4.7,1,1,8,0,22,4.0,18.0,87.2,21,3,9.0,4.0,1.2,1,5,0,2.0
152458,David Robinson,2,4,18080,0,5.6,0,2,0,0,77,0.0,77.0,69.7,9,4,3.0,3.8,1.3,1,17,2,3.0
995081,Mr. Raymond Harper,5,4,15023,0,14.0,4,1,7,0,45,35.0,10.0,97.7,12,3,3.0,7.5,3.9,1,3,2,3.0
253977,Stephanie Wagner,2,5,16674,0,9.5,3,2,5,1,11,0.0,11.0,76.1,26,20,11.0,3.4,3.1,0,29,0,1.6
351794,Tara Bruce,5,0,17189,1,5.2,4,2,2,0,21,15.0,6.0,88.6,25,1,18.0,2.5,3.6,0,10,0,5.0
334914,Lori Mcdonald,3,7,16750,0,9.3,2,1,9,0,36,18.0,18.0,77.4,10,7,7.0,2.0,1.8,0,25,1,1.7
157475,Robert Walls,6,2,16575,1,6.5,3,0,1,0,33,19.0,14.0,70.8,23,20,12.0,1.6,4.7,0,8,2,2.7
697741,Patrick Peterson,2,0,17644,0,6.8,0,1,1,1,16,11.0,5.0,79.1,12,10,7.0,1.2,1.5,0,1,0,2.3
674038,Zoe Figueroa,2,2,19126,0,2.8,0,1,0,1,59,38.0,21.0,61.8,34,10,2.0,5.4,2.3,0,0,2,3.1
254752,Martin Allen,1,1,17119,2,5.2,1,1,4,0,59,22.0,37.0,74.0,19,2,0.0,4.3,2.6,1,4,1,4.1
228879,Veronica Griffith,3,4,18798,1,2.4,0,2,7,0,89,29.0,60.0,61.3,14,8,0.0,7.9,1.7,2,28,2,4.1
985959,Cindy Smith,5,0,17652,0,6.8,3,2,0,1,76,34.0,42.0,73.3,13,7,7.0,3.9,2.6,0,5,0,4.2
435640,Jessica Cervantes,2,5,15064,1,12.5,3,2,5,0,28,6.0,22.0,70.3,46,22,2.0,3.2,2.1,0,2,1,3.8
887153,Scott Mclaughlin,3,5,19062,0,2.9,0,0,0,1,70,58.0,12.0,60.5,8,4,4.0,1.4,4.5,1,13,1,4.2
775416,Michele Potts,2,5,15990,0,11.4,2,2,9,0,82,80.0,2.0,80.8,46,36,10.0,2.6,2.9,2,11,2,1.5
22484,Antonio Taylor,5,3,15757,0,12.0,4,0,3,1,93,15.0,78.0,53.5,19,5,6.0,2.1,4.5,0,23,0,1.2
958500,Douglas Frazier,1,6,16211,1,6.3,4,0,7,1,90,82.0,8.0,54.3,8,8,7.0,7.2,1.5,2,5,2,2.0
502373,Drew Molina,5,4,16065,0,11.2,4,1,4,1,58,55.0,3.0,74.6,46,40,12.0,3.0,1.1,1,6,2,1.4
761107,Rebecca Brown,3,0,15196,0,13.5,4,2,0,0,27,6.0,21.0,59.3,36,3,9.0,3.7,1.8,1,28,0,2.1
622497,Justin Roberts,0,7,16484,1,0.5,4,2,7,1,80,34.0,46.0,81.4,18,10,16.0,8.6,4.5,1,28,2,1.9
538818,Rhonda Rich,4,2,15295,0,13.3,4,1,9,1,70,55.0,15.0,88.2,37,18,29.0,5.1,2.9,1,19,2,4.0
637135,Anthony Briggs,5,0,17864,1,0.6,0,2,7,0,10,2.0,8.0,60.4,10,9,9.0,5.9,4.5,2,20,1,2.8
756878,Christopher Hayes,4,5,18101,0,5.6,2,2,4,0,15,15.0,0.0,89.3,44,26,11.0,3.0,3.7,2,0,1,3.2
160235,Richard Doyle,5,7,18203,0,5.3,4,1,3,1,64,52.0,12.0,80.3,26,20,9.0,3.1,3.7,2,3,2,3.6
488915,Stacy Salazar,6,1,17634,0,6.9,3,0,6,1,47,47.0,0.0,92.0,8,2,8.0,4.7,2.2,1,27,2,3.8
318810,Allison Reynolds,5,5,16478,0,10.0,2,0,7,1,53,52.0,1.0,50.7,34,7,23.0,6.2,2.9,0,8,2,4.2
22370,Steven Martin,1,4,15640,0,12.3,4,1,5,1,26,4.0,22.0,80.2,47,40,38.0,3.7,3.8,1,27,1,4.6
178664,Corey Grant,0,0,15240,0,13.4,4,1,0,1,27,0.0,27.0,82.0,5,4,1.0,3.6,2.7,1,22,0,4.1
754516,William Hines,5,3,14813,1,14.5,0,2,3,1,88,17.0,71.0,79.1,32,12,22.0,9.9,3.8,1,14,0,4.5
966810,Joshua Johnson,3,0,17112,0,8.3,0,2,10,0,94,81.0,13.0,70.2,12,8,10.0,5.2,1.7,1,14,1,4.7
427311,Brian Johnson,4,1,17498,0,7.2,3,0,8,0,30,19.0,11.0,57.5,19,16,14.0,2.2,3.2,0,22,1,3.0
906355,David Cross,2,1,15199,0,13.5,3,1,1,0,85,24.0,61.0,61.3,19,18,13.0,7.2,1.9,0,3,2,4.5
119589,Tyler Jones,4,0,14966,0,14.2,1,1,2,0,66,65.0,1.0,95.3,12,9,11.0,2.0,2.4,2,15,0,2.4
469135,Michelle Smith,6,3,17129,0,8.2,2,1,1,1,51,39.0,12.0,59.0,21,20,2.0,3.8,1.2,1,23,1,4.6
18336,Tommy Reilly,2,3,16135,0,11.0,4,1,6,1,79,59.0,20.0,57.0,28,14,15.0,7.0,1.9,1,2,0,2.7
