Employee ID,Employee Name,Department/Team,Designation/Role,Date of Joining,Current Employment Status,Total Work Duration (years),Leave Date,Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating,Predicted Eligibility Score
112363,Jeffrey Kelly,4,2,2016-06-23,0,8.7,2024-05-02,0,2,8,0,66,57,9,79.3,29,12,13,2.8,1.8,1,21,0,1.5,52
582338,Ryan Lee,5,0,2014-03-26,0,10.9,2024-10-08,0,1,0,0,67,32,35,82.2,31,23,29,10,2.8,2,23,0,2.2,66
350425,Shannon Johnson,4,0,2019-02-09,0,6,2024-02-12,2,0,9,1,80,45,35,78.1,28,12,5,8.9,2.9,2,17,1,4.9,55
72956,Elizabeth Ross,5,2,2020-05-14,1,2,2024-12-11,2,2,0,1,75,1,74,92,9,8,4,3,2.1,0,18,0,2.9,72
887979,Laura West,4,6,2016-08-30,0,8.5,2024-01-17,2,2,0,0,88,2,86,55.8,50,21,12,6.8,1.3,2,11,1,4.5,26
330680,Amber Fox,4,6,2013-04-28,0,11.8,2024-04-13,1,2,2,0,94,74,20,68.6,18,1,18,7.1,4.6,0,26,2,2.5,44
219891,Daniel Christensen,0,2,2022-12-07,0,2.2,2024-01-19,1,2,7,0,94,74,20,57.8,29,12,13,7.6,2,2,8,0,2.9,23
205031,Robert Solomon,6,6,2015-08-27,0,9.5,2024-05-21,1,1,3,0,99,80,19,67.9,24,24,2,6.1,1.5,2,12,2,4.5,43
191208,Gloria Cruz,2,4,2017-04-01,0,7.9,2024-07-29,4,1,2,1,16,11,5,60,11,11,6,7.8,3.1,0,11,2,3.5,31
973941,James Zimmerman,6,5,2021-09-25,0,3.4,2024-07-05,3,1,4,0,46,41,5,85.5,15,10,4,4.1,2.7,2,14,2,4.5,62
628125,Jennifer Baker,0,7,2015-08-08,0,9.5,2024-03-15,0,0,3,0,46,10,36,96.6,49,30,42,2.5,4.9,2,29,0,1.5,77
61228,Jennifer Jackson,1,1,2020-12-07,0,4.2,2024-08-21,1,0,10,1,26,18,8,90.9,23,18,5,3.7,4,0,19,2,3.3,66
569007,Brett Smith,1,6,2021-06-19,0,3.7,2024-02-21,1,2,8,0,99,31,68,52.4,48,44,8,4.5,2.7,1,4,1,2.8,13
49990,Russell Sharp,1,3,2010-04-03,0,14.9,2024-06-21,3,1,7,1,33,2,31,76.8,49,19,46,8.8,2.8,1,15,0,4.8,61
604048,Virginia Snow,1,2,2012-09-01,0,12.5,2024-09-17,1,1,1,1,30,25,5,82.4,34,18,12,8.6,2,1,11,1,3.4,71
779946,Kyle Black,2,0,2018-02-24,0,7,2024-03-29,1,0,1,0,18,15,3,75.3,23,5,10,8.6,3.1,1,2,2,2.8,57
507200,Michele Gordon,6,0,2016-04-23,0,8.8,2024-01-21,2,0,0,1,29,3,26,87.6,32,13,3,6.1,2.4,2,7,1,4.6,77
465919,Gregory Ferguson,5,4,2017-07-07,0,7.6,2024-11-23,4,2,6,0,97,44,53,78,47,30,47,5.9,2.7,2,11,1,3.4,54
433113,Jamie Reid,0,7,2022-11-30,0,2.2,2024-06-10,2,0,6,1,44,40,4,56.5,10,7,3,1.3,4.2,2,22,0,1.6,14
176021,Xavier Brown,3,2,2016-02-13,0,9,2024-10-22,4,0,8,1,20,16,4,55.9,39,30,27,5.4,2.8,2,28,2,1.9,16
865925,Sandra Black,6,2,2021-08-23,0,3.5,2024-06-21,1,2,0,1,83,62,21,84.9,45,5,4,8.1,3.7,0,18,2,2.7,66
467464,Joseph Carter,6,5,2016-02-11,0,9,2024-01-23,1,1,8,0,53,18,35,79.8,33,20,6,3.4,4,0,25,0,4.2,53
136096,Spencer Graves,2,3,2011-08-20,0,13.5,2024-06-21,4,0,9,1,54,3,51,51.8,38,21,2,8.7,4.2,2,23,1,2.5,19
351342,Robert Campbell,5,3,2016-07-12,0,8.6,2024-01-19,3,1,2,0,11,2,9,86.8,17,2,10,1.5,3.7,0,28,2,4.4,64
663184,Kevin Price,0,2,2011-11-28,0,13.2,2024-03-19,1,1,0,1,73,62,11,79.3,21,18,4,3.8,2.3,2,30,2,4.6,59
968819,Mark Davila II,0,5,2013-06-26,0,11.7,2024-07-16,0,0,1,1,69,18,51,83.2,32,16,23,3.4,4,1,5,0,1.2,65
218759,Zachary Duncan,3,3,2013-09-27,0,11.4,2024-05-05,0,1,6,1,72,12,60,60.9,18,6,5,2,4,2,24,1,4.4,26
402011,Darren Waller,0,0,2017-01-07,1,4.5,2024-09-07,3,2,9,1,32,3,29,53,26,3,0,8.3,4.7,1,17,0,3.9,18
101948,David Allen,6,4,2020-06-23,0,4.7,2024-10-06,3,0,9,1,94,53,41,50.3,29,1,29,6.1,2.4,1,9,1,3.3,12
833178,Emma Reyes,6,2,2014-09-11,0,10.4,2024-08-12,3,1,1,1,88,19,69,64.3,14,13,9,5.8,4.4,0,13,2,2.7,38
129523,Emily Smith,5,5,2021-12-06,0,3.2,2024-09-20,1,0,6,1,56,41,15,64.6,36,27,12,6.4,3.2,1,19,0,4.7,32
932500,Linda Hess,4,1,2012-08-29,0,12.5,2024-07-31,2,1,7,0,74,11,63,70.4,36,5,14,4.6,1.1,0,30,2,2.5,40
453907,Joe Foster,0,0,2010-01-07,0,15.1,2024-09-29,1,0,1,1,46,16,30,61.5,35,29,22,4.7,4.4,1,25,0,4.1,35
834585,Steve Fleming,5,1,2020-02-12,0,5,2024-09-12,0,0,1,1,10,8,2,93.6,9,6,6,2.7,3.7,2,14,1,4.1,77
912393,Kristina Young,6,4,2016-10-02,0,8.4,2024-04-01,3,1,5,1,99,79,20,94.4,29,25,28,3.8,3,2,13,1,4.3,80
621264,Sean Gordon,0,7,2019-04-02,0,5.9,2024-04-05,2,1,10,0,46,27,19,72.2,37,32,20,2.8,2.8,2,29,2,4.2,37
561859,Jennifer Smith,5,0,2017-09-04,0,7.5,2024-08-04,3,1,1,0,80,40,40,54,46,19,7,8.4,2.5,0,17,2,3.7,22
691944,Pamela Reyes,3,2,2011-08-13,0,13.5,2024-10-01,2,2,4,1,90,79,11,72.4,29,18,5,8.9,3.2,0,5,1,1.6,54
681911,Justin Pollard,1,2,2018-06-04,0,6.7,2024-06-27,3,2,3,0,83,10,73,96,21,9,21,9.6,1.3,1,3,0,4.3,87
680033,Kelly Raymond DDS,0,6,2021-10-27,0,3.3,2024-11-18,3,0,5,0,82,35,47,77.2,9,9,4,8.3,3.6,0,18,1,1.4,51
850305,Isabel Wyatt,2,3,2019-10-20,0,5.3,2024-09-28,0,2,0,1,55,46,9,71.6,44,44,16,8,1.7,2,17,2,3.7,48
99328,Timothy Douglas,1,6,2015-07-14,0,9.6,2024-12-12,1,0,2,0,63,39,24,71.4,45,15,26,7.3,4.1,0,10,0,2.6,50
249434,Stephanie Watson,1,4,2015-08-16,1,6,2024-05-26,2,1,7,0,68,27,41,99.6,11,9,3,6.6,4.8,0,6,1,1.3,86
975282,Kellie Sanchez,5,2,2016-11-30,0,8.2,2024-05-19,4,1,9,1,34,7,27,81.4,42,30,0,5.7,4.5,2,24,2,2.8,56
755223,Debra Johnson,2,1,2019-02-12,0,6,2024-07-09,4,0,8,1,64,14,50,86.2,33,1,19,5,4.7,0,7,1,2.1,65
475664,Patrick Evans,1,3,2015-06-23,0,9.7,2024-06-01,0,1,7,1,31,15,16,84.1,37,13,4,8,2,0,15,2,1.1,65
58570,Adam Foster,4,4,2016-01-22,0,9.1,2024-01-15,3,2,3,1,24,16,8,54.6,9,2,0,4.7,1.5,0,9,2,2,18
457583,Ashley Donaldson,5,7,2010-12-21,0,14.2,2024-01-10,4,1,10,1,43,37,6,76.3,37,3,28,4.4,4.1,1,16,2,4.8,54
347188,Dustin Baker,4,3,2021-03-10,0,3.9,2024-08-09,3,2,5,1,44,32,12,77.1,38,21,23,2,3.2,0,28,0,2.5,45
822711,Emily Hunter,2,5,2020-05-19,1,4.6,2024-11-30,3,2,0,1,98,94,4,96.3,25,17,0,4.2,2.6,0,17,2,4,81
473099,Sarah Young,3,7,2015-09-26,0,9.4,2024-02-13,4,1,6,1,96,14,82,76.5,47,20,43,6.6,4.9,2,3,0,1.5,55
716548,Richard Tanner,0,0,2012-07-26,0,12.6,2024-04-16,0,1,4,0,57,21,36,61.4,34,5,13,5.8,3.2,0,15,2,1.4,30
646936,Robert Figueroa,6,5,2013-06-16,0,11.7,2024-06-08,4,2,10,1,51,42,9,59.5,10,6,10,3.6,2.9,0,21,1,3,22
604713,Jessica Henry,5,5,2017-10-03,1,6,2024-11-28,0,0,9,1,67,58,9,53.8,41,28,38,1.2,2,0,11,0,3.8,14
287088,Amanda Scott,1,5,2017-01-17,0,8.1,2024-07-06,4,0,5,0,95,80,15,81.1,8,8,2,6.2,1.1,1,28,1,4.8,57
253272,Savannah Carlson,5,0,2010-05-25,0,14.7,2024-04-09,0,0,8,1,95,75,20,59.1,17,9,4,3.4,3.7,1,3,2,1.9,28
316213,Andrew Knapp,6,5,2018-01-06,0,7.1,2024-08-26,4,0,1,0,20,0,20,89.2,7,4,1,3.3,1.5,2,1,2,4.3,75
519798,Lisa Stewart,3,1,2020-07-31,2,3.2,2024-07-02,4,0,8,0,45,17,28,94.4,42,29,0,9.8,3.5,2,7,0,1.6,79
469831,Shane Rodriguez,4,6,2013-11-09,0,11.3,2024-08-08,0,1,7,0,48,24,24,96.6,14,6,3,6.7,1.3,2,6,1,3.5,86
551661,Travis Quinn,4,6,2013-09-09,0,11.4,2024-06-06,1,1,2,1,28,26,2,87.5,42,20,41,2.5,4.6,1,15,2,5,72
288500,Jonathan Powell,5,0,2014-01-25,2,8.7,2024-03-19,0,2,4,1,51,46,5,51.7,5,4,0,2.6,4.5,1,27,2,3.3,13
306681,Kristen Williams,3,4,2011-06-28,0,13.7,2024-11-26,3,2,7,1,66,58,8,69.7,13,4,6,5.6,4.3,2,21,2,5,45
818375,Renee Hodges,3,1,2018-02-16,0,7,2024-06-10,0,1,8,1,77,69,8,56.4,36,4,22,9.3,1.4,0,3,2,4.7,25
497822,Kimberly Sanders,2,5,2014-11-09,0,10.3,2024-01-27,1,1,7,0,38,21,17,91.6,25,10,3,8.3,1,2,15,2,3.1,77
157509,Nicholas Lopez,0,0,2021-03-16,0,3.9,2024-08-22,0,1,5,0,60,28,32,81.1,18,17,9,4.9,4.3,1,22,2,4.8,55
914012,Katherine Martin,1,4,2019-06-20,0,5.7,2024-06-15,4,1,2,1,70,6,64,50.9,38,37,4,2.9,3.6,2,28,0,4.7,12
148182,Robert Williams,6,0,2013-08-08,0,11.5,2024-09-17,4,1,8,1,58,26,32,88.5,36,6,29,8.6,2.9,0,6,0,2,76
936790,Eric Cox,3,6,2012-08-18,0,12.5,2024-07-10,2,0,7,0,18,10,8,99.5,44,8,5,6.5,1.3,1,8,1,2.6,88
141995,Lisa Ingram,4,6,2020-08-03,0,4.5,2024-08-13,2,1,9,1,29,26,3,70.5,41,6,17,3.9,1.1,0,18,2,3.7,37
185368,Bethany Brooks,6,4,2011-04-20,0,13.8,2024-12-19,2,0,3,1,80,31,49,94.5,26,26,11,4,1.3,1,20,0,1.4,80
857909,Kyle Hubbard,4,7,2019-10-28,0,5.3,2024-09-21,2,1,2,1,63,56,7,70.8,41,31,13,4.2,2.6,0,11,1,2.4,43
419828,Sandra Jones,0,5,2022-12-24,0,2.2,2024-06-16,4,2,0,0,23,20,3,66.1,30,6,2,4.8,1.9,2,1,1,4.2,37
959914,Mrs. Melinda Edwards,0,5,2011-05-29,0,13.7,2024-07-12,3,2,4,1,52,34,18,62.8,14,6,14,3.6,2.3,0,15,1,3.2,32
447698,Sandra Irwin,2,3,2016-10-07,0,8.4,2024-05-26,2,1,1,0,75,10,65,50.5,43,41,28,8.9,1.7,1,7,1,2.5,19
110285,David Campos,3,1,2011-08-17,0,13.5,2024-12-27,4,1,2,1,17,17,0,79.5,12,1,1,7.3,2.6,2,3,2,2.9,66
456293,Danielle Conley,5,0,2022-10-04,0,2.4,2024-04-06,1,0,5,1,29,22,7,58,47,32,26,2.6,3.1,0,25,2,4.5,16
259215,Michael Duran,6,6,2012-04-29,0,12.8,2024-07-03,2,0,4,1,76,68,8,65.7,23,18,9,9.3,1,1,28,0,3.3,41
823940,Ashley Hardin,1,5,2016-09-09,0,8.4,2024-09-10,2,0,3,0,65,5,60,59.5,18,4,11,3.9,4.8,0,22,1,4.2,24
232038,Daniel Smith,5,4,2018-12-30,0,6.1,2024-04-11,3,2,3,0,99,90,9,66.4,40,33,0,4.7,2.2,1,23,0,2,34
256759,Anthony Gray,4,4,2011-01-24,0,14.1,2024-09-24,4,1,2,1,54,24,30,62.2,47,12,3,6.4,3.6,0,27,0,1.1,33
214002,Brittany Young,5,5,2020-08-20,0,4.5,2024-10-15,3,0,2,0,51,20,31,51.3,24,11,23,7.4,1.5,1,2,0,4.5,19
690227,Nicole Evans,1,7,2013-12-10,0,11.2,2024-09-06,0,2,2,1,86,50,36,51.7,43,22,39,5,2.7,2,16,1,2.4,17
112963,Connie Perez,4,2,2016-08-23,1,4.4,2024-01-09,2,0,5,0,44,3,41,87.5,48,10,3,3,2.1,0,12,2,4.5,68
63298,Jennifer Perry,4,5,2016-04-24,1,1.2,2024-07-24,1,2,8,1,45,1,44,57.1,22,17,18,4.3,5,2,30,0,1.3,16
479568,Dr. Chris Horton DDS,0,0,2010-10-29,0,14.3,2024-07-04,3,0,7,1,78,78,0,59.6,43,20,32,2.8,3.4,2,13,1,2.9,27
261377,Christopher Baldwin,6,6,2020-01-01,0,5.1,2024-08-28,3,2,6,1,49,31,18,83.5,22,13,21,7.3,4.2,1,0,0,1.8,64
581309,Carolyn Ray,5,5,2020-06-24,0,4.7,2024-08-31,1,1,8,0,22,4,18,87.2,21,3,9,4,1.2,1,5,0,2,64
152458,David Robinson,2,4,2019-07-03,0,5.6,2024-12-26,0,2,0,0,77,0,77,69.7,9,4,3,3.8,1.3,1,17,2,3,40
995081,Mr. Raymond Harper,5,4,2011-02-18,0,14,2024-08-03,4,1,7,0,45,35,10,97.7,12,3,3,7.5,3.9,1,3,2,3,89
253977,Stephanie Wagner,2,5,2015-08-27,0,9.5,2024-03-07,3,2,5,1,11,0,11,76.1,26,20,11,3.4,3.1,0,29,0,1.6,48
351794,Tara Bruce,5,0,2017-01-23,1,5.2,2024-04-04,4,2,2,0,21,15,6,88.6,25,1,18,2.5,3.6,0,10,0,5,71
334914,Lori Mcdonald,3,7,2015-11-11,0,9.3,2024-10-28,2,1,9,0,36,18,18,77.4,10,7,7,2,1.8,0,25,1,1.7,48
157475,Robert Walls,6,2,2015-05-20,1,6.5,2024-10-15,3,0,1,0,33,19,14,70.8,23,20,12,1.6,4.7,0,8,2,2.7,44
697741,Patrick Peterson,2,0,2018-04-23,0,6.8,2024-08-02,0,1,1,1,16,11,5,79.1,12,10,7,1.2,1.5,0,1,0,2.3,56
674038,Zoe Figueroa,2,2,2022-05-14,0,2.8,2024-06-09,0,1,0,1,59,38,21,61.8,34,10,2,5.4,2.3,0,0,2,3.1,31
254752,Martin Allen,1,1,2016-11-14,2,5.2,2024-04-07,1,1,4,0,59,22,37,74,19,2,0,4.3,2.6,1,4,1,4.1,50
228879,Veronica Griffith,3,4,2021-06-20,1,2.4,2024-06-26,0,2,7,0,89,29,60,61.3,14,8,0,7.9,1.7,2,28,2,4.1,25
985959,Cindy Smith,5,0,2018-05-01,0,6.8,2024-08-25,3,2,0,1,76,34,42,73.3,13,7,7,3.9,2.6,0,5,0,4.2,50
435640,Jessica Cervantes,2,5,2011-03-31,1,12.5,2024-05-19,3,2,5,0,28,6,22,70.3,46,22,2,3.2,2.1,0,2,1,3.8,47
887153,Scott Mclaughlin,3,5,2022-03-11,0,2.9,2024-04-12,0,0,0,1,70,58,12,60.5,8,4,4,1.4,4.5,1,13,1,4.2,23
775416,Michele Potts,2,5,2013-10-12,0,11.4,2024-07-05,2,2,9,0,82,80,2,80.8,46,36,10,2.6,2.9,2,11,2,1.5,56
22484,Antonio Taylor,5,3,2013-02-21,0,12,2024-04-15,4,0,3,1,93,15,78,53.5,19,5,6,2.1,4.5,0,23,0,1.2,15
958500,Douglas Frazier,1,6,2014-05-21,1,6.3,2024-10-21,4,0,7,1,90,82,8,54.3,8,8,7,7.2,1.5,2,5,2,2,21
502373,Drew Molina,5,4,2013-12-26,0,11.2,2024-06-01,4,1,4,1,58,55,3,74.6,46,40,12,3,1.1,1,6,2,1.4,50
761107,Rebecca Brown,3,0,2011-08-10,0,13.5,2024-05-01,4,2,0,0,27,6,21,59.3,36,3,9,3.7,1.8,1,28,0,2.1,27
622497,Justin Roberts,0,7,2015-02-18,1,0.5,2024-04-22,4,2,7,1,80,34,46,81.4,18,10,16,8.6,4.5,1,28,2,1.9,55
